date,revenue,region,category,units_sold,customer_type
2024-01-01,4200.50,West,Electronics,12,Premium
2024-01-02,3100.20,East,Clothing,45,Standard
2024-01-03,2500.00,West,Home Decor,8,Premium
2024-01-04,5600.75,North,Electronics,15,Standard
2024-01-05,1200.30,South,Clothing,30,Standard
2024-01-06,3800.00,East,Home Decor,12,Premium
2024-01-07,4500.40,West,Electronics,10,Premium
2024-01-08,2900.15,North,Clothing,50,Standard
2024-01-09,3300.60,South,Home Decor,20,Premium
2024-01-10,4100.00,East,Electronics,9,Standard
2024-01-11,2100.25,West,Clothing,35,Premium
2024-01-12,5000.80,North,Home Decor,14,Standard
2024-01-13,1500.50,South,Electronics,5,Standard
2024-01-14,3700.90,East,Clothing,40,Premium
2024-01-15,4800.20,West,Home Decor,18,Premium
2024-01-16,3200.45,North,Electronics,11,Standard
2024-01-17,2600.70,South,Clothing,25,Premium
2024-01-18,5900.10,East,Home Decor,22,Standard
2024-01-19,4000.30,West,Electronics,13,Premium
2024-01-20,3100.55,North,Clothing,48,Standard
2024-01-21,2400.80,South,Home Decor,10,Premium
2024-01-22,5400.15,East,Electronics,16,Standard
2024-01-23,1300.40,West,Clothing,32,Premium
2024-01-24,3900.65,North,Home Decor,12,Standard
2024-01-25,4600.90,South,Electronics,14,Premium
2024-01-26,2800.10,East,Clothing,55,Standard
2024-01-27,3400.35,West,Home Decor,21,Premium
2024-01-28,4200.60,North,Electronics,10,Standard
2024-01-29,2200.85,South,Clothing,38,Premium
2024-01-30,5100.10,East,Home Decor,16,Standard
